obj_id,nces_schid,nces_disid
16004772,060453000414,0604530
16004773,060453000416,0604530
16004774,060453000418,0604530
16004775,060453000419,0604530
16004776,060453004019,0604530
16004777,060453007417,0604530
16004778,060453012574,0604530
16004939,060648000582,0606480
16004940,060648000583,0606480
16004941,060648000584,0606480
16004942,060648000586,0606480
16004943,060648007418,0606480
16007477,061887002278,0618870
16007478,061887002281,0618870
16007479,061887002282,0618870
16007481,061887002283,0618870
16007482,061887002284,0618870
16007484,061887002285,0618870
16007485,061887002286,0618870
16007486,061887002287,0618870
16007487,061887002288,0618870
16007489,061887002289,0618870
16007491,061887002290,0618870
16007493,061887002291,0618870
16007495,061887002292,0618870
16007497,061887007778,0618870
16009148,062457003682,0624570
16009149,062457003683,0624570
16009150,062457003684,0624570
16009151,062457003685,0624570
16010640,063186004913,0631860
16010642,063186004914,0631860
16010643,063186004915,0631860
16010646,063186004917,0631860
16010648,063186008946,0631860
16010700,063213004962,0632130
16010702,063213004963,0632130
16010704,063213004964,0632130
16010705,063213004965,0632130
16010707,063213004966,0632130
16010708,063213004967,0632130
16010709,063213004968,0632130
16010711,063213004969,0632130
16010712,063213004970,0632130
16010713,063213004972,0632130
16010715,063213004973,0632130
16010717,063213004974,0632130
16011306,063429005400,0634290
16011307,063429005401,0634290
16011308,063429005402,0634290
16011310,063429005403,0634290
16011311,063429005405,0634290
16011312,063429008627,0634290
16011497,063441003976,0634410
16011500,063441005369,0634410
16011501,063441005580,0634410
16011502,063441005582,0634410
16011503,063441005583,0634410
16011504,063441005585,0634410
16011505,063441005586,0634410
16011508,063441005591,0634410
16011509,063441005592,0634410
16011513,063441005597,0634410
16011514,063441005598,0634410
16011515,063441005599,0634410
16011516,063441005600,0634410
16011517,063441005601,0634410
16011518,063441005602,0634410
16011519,063441005604,0634410
16011520,063441005605,0634410
16011522,063441005609,0634410
16011523,063441005610,0634410
16011524,063441005611,0634410
16011525,063441005612,0634410
16011526,063441005614,0634410
16011527,063441005615,0634410
16011528,063441005616,0634410
16011529,063441005617,0634410
16011530,063441005618,0634410
16011531,063441005620,0634410
16011532,063441005621,0634410
16011533,063441005623,0634410
16011534,063441005624,0634410
16011535,063441005625,0634410
16011536,063441005628,0634410
16011537,063441005629,0634410
16011538,063441005630,0634410
16011539,063441005631,0634410
16011540,063441005633,0634410
16011541,063441005635,0634410
16011542,063441005636,0634410
16011543,063441005637,0634410
16011544,063441005638,0634410
16011547,063441005640,0634410
16011548,063441005641,0634410
16011549,063441005643,0634410
16011550,063441005645,0634410
16011551,063441005647,0634410
16011552,063441005648,0634410
16011554,063441005650,0634410
16011555,063441005651,0634410
16011556,063441005652,0634410
16011557,063441005653,0634410
16011560,063441005655,0634410
16011561,063441005657,0634410
16011562,063441005658,0634410
16011563,063441005659,0634410
16011564,063441005660,0634410
16011567,063441005662,0634410
16011570,063441005664,0634410
16011571,063441005666,0634410
16011572,063441005667,0634410
16011573,063441005668,0634410
16011574,063441005669,0634410
16011575,063441005670,0634410
16011576,063441005671,0634410
16011577,063441005672,0634410
16011578,063441005676,0634410
16011579,063441005677,0634410
16011580,063441005678,0634410
16011581,063441005679,0634410
16011582,063441005681,0634410
16011583,063441006556,0634410
16011584,063441007350,0634410
16011585,063441007732,0634410
16011586,063441007840,0634410
16011589,063441007842,0634410
16011590,063441007845,0634410
16011591,063441008189,0634410
16011592,063441008191,0634410
16011593,063441008967,0634410
16011596,063441011252,0634410
16011599,063441011772,0634410
16011600,063441005613,0634410
16011601,063441005674,0634410
16011602,063441012494,0634410
16011603,063441012526,0634410
16011801,063498005919,0634980
16011802,063498005920,0634980
16011803,063498005921,0634980
16011805,063498005924,0634980
16011806,063498005925,0634980
16011807,063498005926,0634980
16012142,063639006194,0636390
16012143,063639006195,0636390
16012144,063639006198,0636390
16012145,063639006199,0636390
16012285,063753006339,0637530
16012286,063753006341,0637530
16012287,063753006342,0637530
16012288,063753006345,0637530
16012289,063753006346,0637530
16012290,063753006347,0637530
16012291,063753006348,0637530
16012292,063753006349,0637530
16012293,063753006351,0637530
16012294,063753006352,0637530
16012295,063753006354,0637530
16012296,063753006355,0637530
16012297,063753006356,0637530
16012298,063753009197,0637530
16084500,063492005917,0634920
16084501,063492007781,0634920
16084502,063492005899,0634920
16084503,063492005911,0634920
16084504,063492005908,0634920
16084505,063492005905,0634920
16084506,063492005404,0634920
16084507,063492005907,0634920
16084508,063492005913,0634920
16084509,063492005916,0634920
16084511,063492005906,0634920
16084512,063492005897,0634920
16084513,063492005896,0634920
16084514,063492005902,0634920
16084515,063492005898,0634920
16084516,063492005901,0634920
16109352,063423005393,0634230
16109353,063423005394,0634230
16109354,063423005396,0634230
16109355,063423005397,0634230
16109356,063423005399,0634230
16109357,063423008626,0634230
16111246,062490003717,0624900
16111247,062490003718,0624900
16111248,062490003719,0624900
16111249,062490003721,0624900
16111620,061719002174,0617190
16111621,061719002175,0617190
16111622,061719009853,0617190
16116066,063492005915,0634920
16117609,0606480XXX01,0606480
