obj_id,nces_disid,grtschl_id,supr_id,dist_schs,dist_typ,dist_enrl,dist_url
17000993,0604200,779,000,2,E,378,https://www.thebayshoreschool.org/
17001006,0604530,780,000,7,E,3900,http://www.brssd.org/
17001024,0606060,781,000,3,E,456,http://brisbane.ca.campusgrid.net/home
17001058,0606480,782,000,7,E,3304,http://bsd.k12.ca.us
17001272,0617190,785,000,4,E,1546,http://www.hcsd.k12.ca.us/
17001323,0618870,786,000,15,E,7111,HTTP://WWW.JSD.K12.CA.US/
17001384,0620460,788,000,8,E,3150,HTTP://WWW.PACIFICASD.ORG/
17001485,0622380,790,000,2,E,1386,HTTP://WWW.LLESD.K12.CA.US/
17001559,0624570,791,000,4,E,2904,HTTP://DISTRICT.MPCSD.ORG/?SESSIONID=F51FD222967C1ED8D98528D365B87D5D&T
17001572,0624900,792,000,5,E,2469,HTTP://MILLBRAESCHOOLDISTRICT.ORG/
17001680,0637530,801,000,17,U,9111,http://www.ssfusd.org/
17001765,0631470,793,000,2,E,629,http://www.pvsd.net/
17001781,0631860,794,000,9,E,4216,http://www.ravenswoodschools.org/
17001788,0632130,795,000,19,E,9042,HTTP://WWW.RCSD.K12.CA.US/SITE/DEFAULT.ASPX?PAGEID=1
17001860,0634230,796,000,7,E,2796,HTTP://SBPSD.K12.CA.US/
17001866,0634290,797,000,8,E,3457,HTTP://WWW.SANCARLOS.K12.CA.US/
17001869,0634410,717,000,127,U,58414,HTTP://WWW.SFUSD.EDU/
17001884,0634920,799,000,21,U,11858,http://www.smfcsd.net/
17001885,0634980,800,000,8,S,8321,http://www.smuhsd.org/
17001923,0636390,798,000,11,S,9693,http://www.sequoiadistrict.org/
17002116,0643140,802,000,1,E,438,http://www.woodside.k12.ca.us/
17014073,0618930,787,000,6,S,4906,http://www.juhsd.net/Page/1
